City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,carnarvon,0,ZA,1562717932,48,-30.97,22.13,49.91,6.31
1,busselton,74,AU,1562718170,60,-33.64,115.35,57.99,16.08
2,ushuaia,75,AR,1562718170,100,-54.81,-68.31,35.6,4.97
3,san quintin,76,PH,1562718003,76,17.54,120.52,79.61,2.77
4,victoria,90,BN,1562718170,88,5.28,115.24,77.0,2.24
5,saint george,20,GR,1562718170,69,39.45,22.34,82.99,2.55
6,georgetown,40,GY,1562717909,83,6.8,-58.16,82.4,6.93
7,hermanus,0,ZA,1562718171,95,-34.42,19.24,57.99,5.01
8,atuona,39,PF,1562717935,76,-9.8,-139.03,80.15,8.84
9,caravelas,17,BR,1562717939,64,-17.73,-39.27,70.43,11.27
10,castro,90,CL,1562718172,93,-42.48,-73.76,51.8,8.05
11,kodiak,1,US,1562718172,55,39.95,-94.76,91.99,5.82
12,roma,0,IT,1562717957,83,41.89,12.48,80.01,10.29
13,constitucion,75,MX,1562718173,29,23.99,-104.67,78.8,9.17
14,geraldton,90,CA,1562717931,64,49.72,-86.95,75.2,11.41
15,leningradskiy,99,RU,1562718173,70,69.38,178.42,51.17,7.07
16,port-gentil,75,GA,1562718174,94,-0.72,8.78,75.2,4.7
17,new norfolk,75,AU,1562718174,66,-42.78,147.06,54.0,10.29
18,bethel,1,US,1562718099,57,60.79,-161.76,78.8,9.17
19,seredka,100,RU,1562718174,95,58.06,38.14,53.33,5.39
20,tasiilaq,73,GL,1562718174,93,65.61,-37.64,37.4,5.82
21,vostok,93,RU,1562718175,74,46.45,135.83,69.35,1.36
22,kahului,40,US,1562718175,58,20.89,-156.47,91.4,20.8
23,concordia,100,AR,1562718175,79,-31.4,-58.02,57.99,1.99
24,rubiera,75,IT,1562718176,94,44.65,10.78,72.0,4.7
25,vaini,90,IN,1562718176,90,15.34,74.49,77.27,7.02
26,rupert,1,US,1562717956,26,42.62,-113.68,84.2,4.7
27,yeppoon,90,AU,1562718177,88,-23.13,150.74,66.2,4.7
28,felipe carrillo puerto,90,MX,1562718177,45,19.58,-88.05,90.59,8.14
29,punta arenas,90,CL,1562718178,100,-53.16,-70.91,37.4,6.93
30,otane,96,NZ,1562718178,68,-39.89,176.62,53.01,11.01
31,mogadishu,85,SO,1562718178,81,2.04,45.34,77.81,14.14
32,srednekolymsk,4,RU,1562718178,26,67.46,153.71,81.41,11.07
33,khatanga,59,RU,1562717936,78,71.98,102.47,53.69,10.22
34,rikitea,47,PF,1562717930,84,-23.12,-134.97,73.49,23.2
35,xingyi,100,CN,1562718179,98,24.19,102.82,60.71,2.24
36,mahibadhoo,98,MV,1562718179,78,3.78,72.97,82.85,9.98
37,simpang,89,ID,1562718180,90,4.36,96.17,73.49,1.9
38,avarua,1,CK,1562718180,74,-21.21,-159.78,78.8,13.87
39,peniche,20,PT,1562718180,100,39.36,-9.38,66.2,3.36
40,ilulissat,20,GL,1562718180,50,69.22,-51.1,51.8,4.7
41,kapaa,20,US,1562717930,74,22.08,-159.32,86.0,13.87
42,harper,1,US,1562718181,66,30.3,-99.24,89.01,3.36
43,port augusta,0,AU,1562718181,66,-32.49,137.76,54.0,8.05
44,natal,40,BR,1562718139,74,-5.81,-35.21,78.8,11.41
45,kalmunai,92,LK,1562718182,82,7.42,81.82,76.55,2.86
46,albany,40,US,1562718028,42,42.65,-73.75,81.0,4.7
47,pimenteiras,1,BR,1562718182,67,-6.24,-41.42,72.41,6.53
48,yaan,100,NG,1562718183,97,7.38,8.57,72.23,6.44
49,cidreira,24,BR,1562718183,91,-30.17,-50.22,53.51,4.56
50,kakching,100,IN,1562718183,98,24.5,93.98,69.35,1.14
51,saint-philippe,1,CA,1562718183,42,45.36,-73.48,82.99,8.05
52,deputatskiy,7,RU,1562718184,58,69.3,139.9,69.17,3.89
53,maldonado,0,UY,1562718184,81,-34.91,-54.96,50.0,5.82
54,yellowknife,75,CA,1562718184,54,62.45,-114.38,59.0,8.05
55,kommunar,90,RU,1562718185,87,59.62,30.39,55.99,6.71
56,ingham,100,AU,1562718185,95,-18.65,146.16,66.65,2.1
